colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,thickness,length,width
District Oak,Woodmatt,Laminate,56855,Laminate District Oak Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/district-oak/,2025-08-21T05:02:13Z,Woodmatt,0.7,1825,680
District Oak,Woodmatt,Laminate,56854,Laminate District Oak Woodmatt HS 0.7mm 1825x1360,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/district-oak/,2025-08-21T05:02:16Z,Woodmatt,0.7,1825,1360
Bronzed Oak,Woodmatt,Laminate,56856,Laminate Bronzed Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/bronzed-oak/,2025-08-21T05:02:57Z,Woodmatt,0.7,3650,1360
Bronzed Oak,Woodmatt,Laminate,56858,Laminate Bronzed Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/bronzed-oak/,2025-08-21T05:03:00Z,Woodmatt,0.7,1825,1360
Bronzed Oak,Woodmatt,Laminate,56857,Laminate Bronzed Oak Woodmatt HL 0.7mm 3650x680,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/bronzed-oak/,2025-08-21T05:03:06Z,Woodmatt,0.7,3650,680
Bronzed Oak,Woodmatt,Laminate,56859,Laminate Bronzed Oak Woodmatt Q 0.7mm 1825x680,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/bronzed-oak/,2025-08-21T05:14:25Z,Woodmatt,0.7,1825,680
Rubra Oak,Woodmatt,Laminate,56864,Laminate Rubra Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/rubra-oak/,2025-08-21T05:15:06Z,Woodmatt,0.7,3650,1360
Rubra Oak,Woodmatt,Laminate,56865,Laminate Rubra Oak Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/rubra-oak/,2025-08-21T05:15:09Z,Woodmatt,0.7,3650,680
Rubra Oak,Woodmatt,Laminate,56866,Laminate Rubra Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/rubra-oak/,2025-08-21T05:15:12Z,Woodmatt,0.7,1825,1360
Rubra Oak,Woodmatt,Laminate,56867,Laminate Rubra Oak Woodmatt Q 0.7mm 1825x680,1,Place order to confirm availability,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/rubra-oak/,2025-08-21T05:15:15Z,Woodmatt,0.7,1825,680
Blackened Oak,Woodmatt,Laminate,56860,Laminate Blackened Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blackened-oak/,2025-08-21T05:15:56Z,Woodmatt,0.7,3650,1360
Blackened Oak,Woodmatt,Laminate,56861,Laminate Blackened Oak Woodmatt HL 0.7mm 3650x680,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blackened-oak/,2025-08-21T05:15:59Z,Woodmatt,0.7,3650,680
