colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,thickness,length,width,minimum_order_qty,order_multiple
Society Oak,Woodmatt,Laminate,56846,Laminate Society Oak Woodmatt HS 0.7mm 1825x1360,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/society-oak/,2025-08-21T06:44:55Z,Woodmatt,0.7,1825,1360,1,1
District Oak,Woodmatt,Laminate,56852,Laminate District Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/district-oak/,2025-08-21T06:45:11Z,Woodmatt,0.7,3650,1360,1,1
District Oak,Woodmatt,Laminate,56853,Laminate District Oak Woodmatt HL 0.7mm 3650x680,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/district-oak/,2025-08-21T06:45:12Z,Woodmatt,0.7,3650,680,1,1
District Oak,Woodmatt,Laminate,56855,Laminate District Oak Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/district-oak/,2025-08-21T06:45:13Z,Woodmatt,0.7,1825,680,1,1
District Oak,Woodmatt,Laminate,56854,Laminate District Oak Woodmatt HS 0.7mm 1825x1360,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/district-oak/,2025-08-21T06:45:14Z,Woodmatt,0.7,1825,1360,1,1
Bronzed Oak,Woodmatt,Laminate,56856,Laminate Bronzed Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/bronzed-oak/,2025-08-21T06:45:30Z,Woodmatt,0.7,3650,1360,1,1
Bronzed Oak,Woodmatt,Laminate,56858,Laminate Bronzed Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/bronzed-oak/,2025-08-21T06:45:31Z,Woodmatt,0.7,1825,1360,1,1
Bronzed Oak,Woodmatt,Laminate,56857,Laminate Bronzed Oak Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/bronzed-oak/,2025-08-21T06:45:32Z,Woodmatt,0.7,3650,680,1,1
Bronzed Oak,Woodmatt,Laminate,56859,Laminate Bronzed Oak Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/bronzed-oak/,2025-08-21T06:45:33Z,Woodmatt,0.7,1825,680,1,1
Rubra Oak,Woodmatt,Laminate,56864,Laminate Rubra Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/rubra-oak/,2025-08-21T06:45:50Z,Woodmatt,0.7,3650,1360,1,1
Rubra Oak,Woodmatt,Laminate,56865,Laminate Rubra Oak Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/rubra-oak/,2025-08-21T06:45:51Z,Woodmatt,0.7,3650,680,1,1
Rubra Oak,Woodmatt,Laminate,56866,Laminate Rubra Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/rubra-oak/,2025-08-21T06:45:52Z,Woodmatt,0.7,1825,1360,1,1
Rubra Oak,Woodmatt,Laminate,56867,Laminate Rubra Oak Woodmatt Q 0.7mm 1825x680,1,Place order to confirm availability,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/rubra-oak/,2025-08-21T06:45:53Z,Woodmatt,0.7,1825,680,1,1
Blackened Oak,Woodmatt,Laminate,56860,Laminate Blackened Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blackened-oak/,2025-08-21T06:46:10Z,Woodmatt,0.7,3650,1360,1,1
Blackened Oak,Woodmatt,Laminate,56861,Laminate Blackened Oak Woodmatt HL 0.7mm 3650x680,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blackened-oak/,2025-08-21T06:46:11Z,Woodmatt,0.7,3650,680,1,1
Blackened Oak,Woodmatt,Laminate,56863,Laminate Blackened Oak Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blackened-oak/,2025-08-21T06:46:12Z,Woodmatt,0.7,1825,680,1,1
Blackened Oak,Woodmatt,Laminate,56862,Laminate Blackened Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blackened-oak/,2025-08-21T06:46:13Z,Woodmatt,0.7,1825,1360,1,1
Dark Batten Oak,Woodmatt,Laminate,57273,Laminate Dark Batten Oak Woodmatt 0.7mm 3650x1220,1,In stock at your branch,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/dark-batten-oak/,2025-08-21T06:46:29Z,Woodmatt,0.7,3650,1220,1,1
Batten Oak,Woodmatt,Laminate,56261,Laminate Batten Oak Woodmatt 0.7mm 3650x1220,1,In stock at your branch,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/batten-oak/,2025-08-21T06:46:38Z,Woodmatt,0.7,3650,1220,1,1
Danish Rattan,Woodmatt,Laminate,56523,Laminate Danish Rattan Woodmatt 0.7mm 3650x1220,1,In stock at your branch,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/danish-rattan/,2025-08-21T06:46:45Z,Woodmatt,0.7,3650,1220,1,1
Swiss Rattan,Woodmatt,Laminate,56519,Laminate Swiss Rattan Woodmatt 0.7mm 3650x1220,1,In stock at your branch,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/swiss-rattan/,2025-08-21T06:46:49Z,Woodmatt,0.7,3650,1220,1,1
Italian Cotton,Matt,Laminate,55501,Laminate Italian Cotton Matt 0.7mm 3650x1220,1,In stock at your branch,$181.95*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/italian-cotton/,2025-08-21T06:46:53Z,Matt,0.7,3650,1220,1,1
Natural Cotton,Matt,Laminate,55502,Laminate Natural Cotton Matt 0.7mm 3650x1220,1,In stock at your branch,$181.95*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/natural-cotton/,2025-08-21T06:46:58Z,Matt,0.7,3650,1220,1,1
Aston White,Smooth,Laminate,52113,Laminate Aston White Smooth 0.7mm 3650 x 1220,1,In stock at your branch,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/aston-white/,2025-08-21T06:47:13Z,Smooth,0.7,3650,1220,1,1
